variety	price_performace
Trajadura	12.2857142857143
Malagouzia-Chardonnay	10.75
Macabeo-Moscatel	10.625
Johannisberg Riesling	10.5925595238095
Shiraz-Tempranillo	9.91428571428571
Merseguera-Sauvignon Blanc	9.44444444444444
Tinto Velasco	9.44444444444444
Bobal-Cabernet Sauvignon	9.33333333333333
Airen	9.15462962962963
Merlot-Grenache	8.9
Feteascǎ Regalǎ	8.82227032227032
Verdejo-Sauvignon Blanc	8.68888888888889
Diamond	8.6
Loureiro-Arinto	8.6
Malbec-Tempranillo	8.50892857142857
Colombard-Ugni Blanc	8.40280691530691
Pinotage-Merlot	8.4
Chenin Blanc-Sauvignon Blanc	8.25949975949976
Garnacha-Tempranillo	8.25862299465241
Verdejo-Viura	8.17129026276754
Viura-Chardonnay	8.12914862914863
Gamza	8.09090909090909
Tămâioasă Românească	8.075
Alvarinho-Chardonnay	8.01060606060606
Maria Gomes	8
Roditis-Moschofilero	8
Ugni Blanc-Colombard	7.94517396184063
Garnacha-Monastrell	7.90972222222222
Bombino Nero	7.90909090909091
Colombard-Sauvignon Blanc	7.89140637140637
Semillon-Chardonnay	7.86920168067227
Cabernet-Malbec	7.81818181818182
Vranac	7.81818181818182
Malbec-Bonarda	7.59806324110672
Chardonel	7.54545454545455
Paralleda	7.54545454545455
Savatiano	7.50993464052288
Tempranillo-Garnacha	7.4634363951
Loureiro	7.45829671988639
Macabeo-Chardonnay	7.44047619047619
Touriga Nacional-Cabernet Sauvignon	7.34590480088962
Blatina	7.33333333333333
Symphony	7.32266081871345
Mavroudi	7.25
Cabernet Franc-Carmenère	7.16666666666667
Sauvignon-Sémillon	7.16666666666667
Bical	7.15085978835979
Viura-Verdejo	7.1013986013986
Merlot-Argaman	7.08333333333333
Kotsifali	7.07692307692308
Tannat-Syrah	7.0625
Sauvignon Blanc-Verdejo	7.03759157509158
Garnacha-Syrah	6.98619310051437
Portuguese White	6.94282449079557
Rosado	6.88815432393063
Malbec-Syrah	6.80315685425284
Castelão	6.78883496099489
Viura	6.78498759929179
Piquepoul Blanc	6.76923076923077
Moscatel Graúdo	6.73076923076923
Chardonnay-Sauvignon Blanc	6.70833333333333
Irsai Oliver	6.69230769230769
Syrah-Bonarda	6.69230769230769
Valvin Muscat	6.69230769230769
Valdiguié	6.67833333333333
Tempranillo-Shiraz	6.67291666666667
White Riesling	6.66487649103034
Portuguese Rosé	6.62672311348782
Torrontés	6.62567098898998
Garnacha-Cabernet	6.53846153846154
Moschofilero-Chardonnay	6.53846153846154
Feteasca Neagra	6.47561327561328
Chardonnay-Sauvignon	6.4655303030303
Mavrud	6.46530278778178
Colombard	6.4617839889579
Macabeo	6.46051844625567
Moscato	6.44469618210805
Arinto	6.4438833391533
Siria	6.43926073926074
Muskat Ottonel	6.43462694712695
Tinta Cao	6.42857142857143
Garnacha Tintorera	6.35921717171717
Syrah-Malbec	6.35714285714286
Vilana	6.32484182484183
Azal	6.32136752136752
Inzolia	6.30935697986351
Dornfelder	6.30910265609241
Cabernet Sauvignon-Tempranillo	6.25389601454617
Kangoun	6.21428571428571
Tsolikouri	6.21428571428571
Garnacha	6.19557499816845
Mavrodaphne	6.18648018648019
Parraleta	6.14285714285714
Pinot Grigio	6.07305279438491
Bastardo	6.06597222222222
Malvasia-Viura	6.02365591397849
Verdejo	6.02257767128964
Chenin Blanc-Viognier	6.00448717948718
Ondenc	6
Carineña	5.99902930402931